race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.4057 (0.3868-0.4246),0.5943 (0.5754-0.6132),0.3788 (0.3671-0.391)
OVAP,0.9743 (0.9578-0.9862),0.0257 (0.0138-0.0422),0.2604 (0.237-0.2837)
