race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.5544 (0.5376-0.5712),0.4456 (0.4288-0.4624),0.3647 (0.3518-0.3772)
BVAP,0.9648 (0.9407-0.9809),0.0352 (0.0191-0.0593),0.2314 (0.2047-0.2584)
HVAP,0.5882 (0.2767-0.8518),0.4118 (0.1482-0.7233),0.0999 (0.0465-0.1898)
OVAP,0.6617 (0.3162-0.8649),0.3383 (0.1351-0.6838),0.1121 (0.0425-0.209)
