race,AG14D,AG14R,AG14Turnout
WVAP,0.4101 (0.3903-0.4292),0.5899 (0.5708-0.6097),0.3305 (0.3198-0.3414)
OVAP,0.9629 (0.9415-0.979),0.0371 (0.021-0.0585),0.2121 (0.1892-0.2351)
