race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.3946 (0.3679-0.421),0.2145 (0.194-0.2355),0.1646 (0.1472-0.1829),0.06 (0.049-0.0714),0.1663 (0.147-0.1858),0.0638 (0.0606-0.067)
OVAP,0.5232 (0.4819-0.5646),0.162 (0.1319-0.1926),0.0698 (0.0476-0.0937),0.0374 (0.0235-0.0545),0.2076 (0.1771-0.2394),0.0927 (0.0857-0.1001)
