race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.2012 (0.1807-0.2225),0.7988 (0.7775-0.8193),0.3537 (0.344-0.3636)
OVAP,0.9605 (0.9369-0.9772),0.0395 (0.0228-0.0631),0.2169 (0.1964-0.2373)
