race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.6122 (0.5968-0.6265),0.3878 (0.3735-0.4032),0.3527 (0.3406-0.3649)
OVAP,0.9653 (0.9422-0.9811),0.0347 (0.0189-0.0578),0.231 (0.2068-0.2557)
