race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.4022 (0.385-0.4193),0.5978 (0.5807-0.615),0.4846 (0.471-0.4984)
OVAP,0.984 (0.9734-0.9914),0.016 (0.0086-0.0266),0.4013 (0.3749-0.4272)
