race,AG14D,AG14R,AG14Turnout
WVAP,0.4375 (0.4181-0.4551),0.5625 (0.5449-0.5819),0.3369 (0.3256-0.3483)
BVAP,0.9675 (0.9469-0.9823),0.0325 (0.0177-0.0531),0.2384 (0.2118-0.2648)
HVAP,0.6397 (0.3369-0.8875),0.3603 (0.1125-0.6631),0.0936 (0.0432-0.1656)
OVAP,0.6971 (0.4111-0.892),0.3029 (0.108-0.5889),0.0997 (0.0439-0.1884)
