race,SEN12D,SEN12R,SEN12None
WVAP,0.2464 (0.2393-0.2534),0.2507 (0.2486-0.2528),0.5029 (0.4958-0.5102)
OVAP,0.4704 (0.4592-0.4818),0.013 (0.0108-0.0154),0.5167 (0.5051-0.5282)
