race,COMP18D,COMP18R,COMP18None
WVAP,0.3323 (0.323-0.3424),0.2076 (0.2034-0.2117),0.4602 (0.4504-0.4701)
BVAP,0.4088 (0.3882-0.4318),0.0311 (0.0263-0.0364),0.56 (0.5369-0.5798)
HVAP,0.2775 (0.2231-0.3504),0.1104 (0.0896-0.1306),0.6121 (0.5465-0.6689)
OVAP,0.7151 (0.6592-0.7647),0.0757 (0.0621-0.0922),0.2092 (0.1632-0.2625)
