race,AG14D,AG14R,AG14None
WVAP,0.1712 (0.1646-0.1784),0.2329 (0.2302-0.2357),0.5959 (0.5885-0.6027)
BVAP,0.2913 (0.2777-0.3044),0.0151 (0.0125-0.0178),0.6936 (0.6803-0.7073)
HVAP,0.0656 (0.0417-0.0967),0.0308 (0.0219-0.0417),0.9036 (0.8698-0.9325)
OVAP,0.452 (0.3979-0.5043),0.0447 (0.0355-0.0556),0.5033 (0.4513-0.558)
