race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0532 (0.0514-0.055),0.0047 (0.004-0.0053),0.0284 (0.0271-0.0296),0.9138 (0.9114-0.916)
OVAP,0.0477 (0.0454-0.05),0.0427 (0.0413-0.0441),0.0377 (0.0359-0.0395),0.872 (0.8688-0.8753)
