race,AG18D,AG18R,AG18None
WVAP,0.2837 (0.2735-0.2939),0.2848 (0.2817-0.2878),0.4315 (0.4213-0.4422)
OVAP,0.437 (0.4211-0.4527),0.0264 (0.0224-0.0311),0.5366 (0.5209-0.5522)
