race,GOV18D,GOV18R,GOV18None
WVAP,0.1294 (0.1217-0.1375),0.4608 (0.4542-0.4675),0.4098 (0.4005-0.419)
OVAP,0.4015 (0.3878-0.4147),0.0605 (0.0537-0.0676),0.538 (0.5246-0.5525)
