race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0336 (0.0321-0.0353),0.0099 (0.0092-0.0105),0.0135 (0.0127-0.0143),0.0094 (0.0086-0.0102),0.0171 (0.0159-0.0184),0.9164 (0.9142-0.9186)
OVAP,0.0773 (0.0743-0.0802),0.0133 (0.0122-0.0146),0.0112 (0.01-0.0125),0.0079 (0.0069-0.009),0.0629 (0.0604-0.0656),0.8273 (0.8232-0.8315)
