race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0243 (0.0229-0.0257),0.0314 (0.0303-0.0327),0.0283 (0.0271-0.0294),0.916 (0.9139-0.9181)
OVAP,0.0966 (0.0935-0.0996),0.0219 (0.0202-0.0236),0.0187 (0.0171-0.0203),0.8629 (0.859-0.8667)
