race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.036 (0.0341-0.038),0.0095 (0.0089-0.0102),0.009 (0.0082-0.0099),0.0045 (0.004-0.005),0.0185 (0.0172-0.02),0.9225 (0.9197-0.9252)
BVAP,0.0782 (0.0739-0.0825),0.0169 (0.0152-0.0187),0.0078 (0.0065-0.0093),0.0044 (0.0037-0.0052),0.0598 (0.0564-0.0634),0.8328 (0.827-0.8387)
HVAP,0.0133 (0.007-0.0211),0.005 (0.0033-0.0074),0.0061 (0.0039-0.0091),0.0069 (0.0043-0.0102),0.0207 (0.0132-0.0303),0.948 (0.9302-0.9627)
OVAP,0.1109 (0.0939-0.128),0.0109 (0.0083-0.0143),0.0653 (0.0577-0.0733),0.0556 (0.0509-0.0597),0.0908 (0.078-0.1032),0.6665 (0.6425-0.6917)
