race,PRES12D,PRES12R,PRES12None
WVAP,0.2837 (0.2751-0.2923),0.3306 (0.3272-0.334),0.3856 (0.3772-0.3934)
BVAP,0.5602 (0.5416-0.5782),0.0179 (0.0147-0.0216),0.4219 (0.4047-0.4404)
HVAP,0.2247 (0.1703-0.2939),0.0859 (0.069-0.103),0.6894 (0.6243-0.7411)
OVAP,0.7819 (0.7421-0.8123),0.0493 (0.0397-0.0602),0.1688 (0.1425-0.2058)
