race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.1208 (0.1167-0.125),0.0235 (0.0213-0.0257),0.8557 (0.851-0.8603)
OVAP,0.091 (0.0859-0.0962),0.1536 (0.149-0.1582),0.7554 (0.7489-0.7619)
