race,SEN12D,SEN12R,SEN12None
WVAP,0.2432 (0.2356-0.2507),0.2366 (0.2335-0.2396),0.5203 (0.5124-0.5278)
BVAP,0.4882 (0.4729-0.503),0.0133 (0.0109-0.0161),0.4985 (0.484-0.5137)
HVAP,0.1712 (0.1312-0.2211),0.0632 (0.0504-0.0781),0.7656 (0.7139-0.8069)
OVAP,0.7194 (0.6692-0.7705),0.0467 (0.0367-0.0585),0.2339 (0.1842-0.285)
