race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0236 (0.0218-0.0255),0.0303 (0.0288-0.0317),0.0279 (0.0266-0.0291),0.9182 (0.9156-0.9207)
BVAP,0.1049 (0.1007-0.1093),0.0218 (0.0197-0.024),0.0182 (0.0164-0.02),0.8551 (0.85-0.8599)
HVAP,0.0083 (0.0047-0.0136),0.0119 (0.0079-0.0168),0.0069 (0.0046-0.0104),0.9729 (0.9635-0.9804)
OVAP,0.1524 (0.1309-0.1748),0.0402 (0.0292-0.0532),0.0324 (0.0251-0.0418),0.775 (0.7488-0.8006)
