race,COMP14D,COMP14R,COMP14None
WVAP,0.2273 (0.2195-0.2355),0.2171 (0.2138-0.2202),0.5556 (0.5474-0.5637)
BVAP,0.2969 (0.2828-0.3112),0.0169 (0.0141-0.0202),0.6862 (0.6719-0.7005)
HVAP,0.0695 (0.0456-0.1017),0.0409 (0.0293-0.0542),0.8896 (0.8547-0.9191)
OVAP,0.361 (0.2876-0.4283),0.066 (0.0521-0.0818),0.5731 (0.5084-0.642)
