race,AG14D,AG14R,AG14None
WVAP,0.1752 (0.1689-0.1818),0.2435 (0.2413-0.2456),0.5813 (0.5747-0.5877)
OVAP,0.2791 (0.2685-0.2894),0.0133 (0.0112-0.0157),0.7076 (0.6972-0.7181)
