race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0468 (0.0445-0.0497),0.0017 (0.0014-0.002),0.9515 (0.9485-0.9539)
BVAP,0.0688 (0.0655-0.0721),0.0299 (0.0287-0.0311),0.9013 (0.8978-0.9046)
HVAP,0.0084 (0.0047-0.0155),0.0054 (0.0038-0.0074),0.9862 (0.9783-0.9909)
OVAP,0.1056 (0.0727-0.1291),0.01 (0.0077-0.0124),0.8844 (0.8599-0.9183)
