race,COMP18D,COMP18R,COMP18None
WVAP,0.3448 (0.3353-0.3539),0.2297 (0.2266-0.2327),0.4254 (0.4161-0.4352)
OVAP,0.4197 (0.4047-0.4355),0.026 (0.0219-0.0303),0.5543 (0.5381-0.5693)
