race,GOV14D,GOV14R,GOV14None
WVAP,0.1236 (0.1173-0.1299),0.3206 (0.3179-0.3234),0.5558 (0.5491-0.5624)
OVAP,0.29 (0.2796-0.3005),0.0156 (0.0133-0.0183),0.6944 (0.6831-0.7049)
