race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0426 (0.0403-0.0453),0.0063 (0.0055-0.007),0.03 (0.0289-0.0313),0.9211 (0.9182-0.9238)
BVAP,0.0412 (0.0384-0.044),0.0509 (0.0485-0.0533),0.0453 (0.0429-0.0479),0.8626 (0.8583-0.8668)
HVAP,0.0085 (0.0045-0.0141),0.0102 (0.0063-0.0149),0.0079 (0.0051-0.0116),0.9734 (0.963-0.9814)
OVAP,0.1853 (0.1599-0.2089),0.0315 (0.025-0.0403),0.0278 (0.0223-0.0346),0.7554 (0.7294-0.7815)
