race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0474 (0.0458-0.0489),0.0016 (0.0013-0.0019),0.9511 (0.9494-0.9526)
OVAP,0.065 (0.0627-0.0674),0.0216 (0.0211-0.0221),0.9134 (0.911-0.9158)
