race,COMP14D,COMP14R,COMP14None
WVAP,0.2268 (0.2198-0.2335),0.2303 (0.2277-0.2328),0.543 (0.5363-0.5498)
OVAP,0.2713 (0.261-0.282),0.0162 (0.0136-0.019),0.7126 (0.7016-0.7228)
