race,PRES16D,PRES16R,PRES16None
WVAP,0.3027 (0.2918-0.3135),0.3324 (0.3292-0.3357),0.3649 (0.3539-0.3753)
OVAP,0.5214 (0.5037-0.5379),0.0275 (0.0231-0.0324),0.4511 (0.4351-0.468)
