race,PRES12D,PRES12R,PRES12None
WVAP,0.2867 (0.2782-0.2954),0.3479 (0.3452-0.3504),0.3654 (0.357-0.3738)
OVAP,0.5372 (0.5241-0.5502),0.0171 (0.0141-0.0204),0.4457 (0.4333-0.4585)
