race,SEN18D,SEN18R,SEN18None
WVAP,0.2743 (0.2651-0.2834),0.2267 (0.2232-0.2301),0.499 (0.4896-0.5079)
BVAP,0.4105 (0.3889-0.43),0.0297 (0.0251-0.0352),0.5598 (0.5405-0.5808)
HVAP,0.3057 (0.2234-0.373),0.0869 (0.0692-0.1054),0.6074 (0.5411-0.6863)
OVAP,0.7836 (0.7436-0.821),0.0541 (0.0445-0.0663),0.1622 (0.1302-0.1981)
