race,SEN16D,SEN16R,SEN16None
WVAP,0.3084 (0.2977-0.3187),0.3461 (0.3427-0.3493),0.3456 (0.3355-0.3562)
OVAP,0.5077 (0.491-0.5242),0.0299 (0.0251-0.0351),0.4624 (0.4458-0.4787)
