race,SEN18D,SEN18R,SEN18None
WVAP,0.2924 (0.2827-0.3029),0.2444 (0.2416-0.2471),0.4631 (0.4531-0.4725)
OVAP,0.432 (0.4158-0.4472),0.0238 (0.02-0.0283),0.5442 (0.5292-0.5603)
