race,COMP18D,COMP18R,COMP18None
WVAP,0.4101 (0.3513-0.4696),0.28 (0.262-0.2966),0.3099 (0.2526-0.3681)
OVAP,0.4338 (0.4196-0.4486),0.0061 (0.0043-0.0085),0.5601 (0.5454-0.5743)
