race,PRES16D,PRES16R,PRES16None
WVAP,0.4942 (0.4213-0.5657),0.1576 (0.12-0.1963),0.3482 (0.279-0.4196)
BVAP,0.6098 (0.5854-0.6337),0.0062 (0.0036-0.0094),0.384 (0.3602-0.4082)
HVAP,0.1683 (0.0974-0.2568),0.046 (0.0276-0.0689),0.7857 (0.7002-0.856)
OVAP,0.583 (0.4243-0.693),0.2734 (0.2078-0.3369),0.1437 (0.0594-0.2919)
