race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0784 (0.0566-0.1017),0.0126 (0.0067-0.021),0.9091 (0.8846-0.9317)
OVAP,0.0543 (0.0504-0.0581),0.0432 (0.0419-0.0443),0.9025 (0.8985-0.9063)
