race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0743 (0.0566-0.0931),0.0143 (0.0076-0.0245),0.0359 (0.0227-0.0516),0.8754 (0.8519-0.8982)
OVAP,0.0326 (0.0296-0.0357),0.064 (0.062-0.0657),0.0281 (0.0256-0.0305),0.8752 (0.8711-0.8793)
