race,GOV18D,GOV18R,GOV18None
WVAP,0.1833 (0.1248-0.243),0.5998 (0.5431-0.6529),0.2169 (0.1662-0.2733)
OVAP,0.3779 (0.3649-0.3909),0.0533 (0.046-0.0625),0.5687 (0.556-0.5807)
