race,AG18D,AG18R,AG18None
WVAP,0.4136 (0.353-0.474),0.278 (0.2624-0.2928),0.3084 (0.2504-0.368)
OVAP,0.437 (0.4226-0.4514),0.0052 (0.0035-0.0074),0.5578 (0.5432-0.5721)
