race,PRES12D,PRES12R,PRES12None
WVAP,0.3732 (0.3176-0.4315),0.3307 (0.3179-0.3425),0.2961 (0.2377-0.351)
OVAP,0.5598 (0.5458-0.573),0.0045 (0.0029-0.0067),0.4357 (0.4225-0.4495)
