race,PRES16D,PRES16R,PRES16None
WVAP,0.4439 (0.3892-0.4987),0.3241 (0.3077-0.3396),0.232 (0.1797-0.2856)
OVAP,0.5321 (0.5175-0.5466),0.0055 (0.0036-0.0079),0.4624 (0.4478-0.4769)
