race,GOV14D,GOV14R,GOV14None
WVAP,0.1748 (0.1281-0.2231),0.2997 (0.2829-0.3148),0.5255 (0.4753-0.5733)
OVAP,0.3038 (0.2929-0.3147),0.0058 (0.004-0.008),0.6905 (0.6795-0.7014)
