race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0819 (0.0626-0.1016),0.0109 (0.006-0.0178),0.9072 (0.887-0.9275)
BVAP,0.0635 (0.0591-0.0678),0.0531 (0.051-0.055),0.8833 (0.8787-0.8883)
HVAP,0.0095 (0.0042-0.0184),0.0066 (0.0033-0.0117),0.984 (0.9735-0.9911)
OVAP,0.0417 (0.0172-0.0805),0.0159 (0.0071-0.0292),0.9425 (0.8999-0.9714)
