race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.1664 (0.1319-0.2009),0.0927 (0.0636-0.1231),0.7409 (0.6993-0.7817)
BVAP,0.0643 (0.0566-0.0719),0.1971 (0.1878-0.2062),0.7386 (0.728-0.7493)
HVAP,0.0219 (0.0079-0.0435),0.0187 (0.0074-0.0368),0.9593 (0.9318-0.9797)
OVAP,0.1052 (0.0465-0.182),0.0676 (0.0239-0.1278),0.8272 (0.7296-0.9006)
