race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0725 (0.0565-0.0907),0.0044 (0.0027-0.0066),0.0101 (0.0055-0.0164),0.0052 (0.0031-0.0077),0.1018 (0.0816-0.1218),0.806 (0.7797-0.8317)
BVAP,0.0857 (0.0809-0.0904),0.0009 (0.0006-0.0012),0.0044 (0.0033-0.0057),0.001 (0.0007-0.0014),0.1142 (0.109-0.1196),0.7938 (0.7865-0.8004)
HVAP,0.009 (0.0038-0.0164),0.0035 (0.0019-0.0059),0.0047 (0.0022-0.0087),0.0036 (0.002-0.0061),0.0101 (0.0045-0.0195),0.9692 (0.9566-0.9792)
OVAP,0.0243 (0.0086-0.0486),0.0244 (0.019-0.0294),0.0408 (0.0271-0.0547),0.0301 (0.0238-0.036),0.018 (0.0053-0.0388),0.8625 (0.8307-0.8903)
