race,SEN16D,SEN16R,SEN16None
WVAP,0.4401 (0.3809-0.4961),0.3284 (0.3106-0.3453),0.2314 (0.1783-0.2895)
OVAP,0.516 (0.5015-0.5314),0.006 (0.004-0.0085),0.478 (0.4624-0.4925)
