race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0508 (0.0359-0.0644),0.0165 (0.0135-0.0194),0.0252 (0.0194-0.0312),0.0197 (0.0161-0.0233),0.0692 (0.0523-0.0856),0.8186 (0.7966-0.8392)
OVAP,0.0734 (0.0704-0.0769),0.001 (0.0007-0.0013),0.0043 (0.0035-0.0051),0.0011 (0.0008-0.0015),0.0971 (0.0935-0.1009),0.8231 (0.8184-0.8278)
