race,AG14D,AG14R,AG14None
WVAP,0.2624 (0.2126-0.3102),0.1613 (0.1347-0.1852),0.5763 (0.5267-0.6268)
BVAP,0.356 (0.3411-0.3701),0.0042 (0.0026-0.0062),0.6398 (0.6257-0.655)
HVAP,0.0413 (0.0203-0.0726),0.0196 (0.0111-0.0315),0.9392 (0.9052-0.9635)
OVAP,0.1322 (0.0494-0.2461),0.1222 (0.0791-0.1684),0.7456 (0.6348-0.8345)
