race,SEN18D,SEN18R,SEN18None
WVAP,0.4402 (0.3632-0.5137),0.0915 (0.0632-0.1283),0.4682 (0.3905-0.5469)
BVAP,0.5048 (0.4831-0.5266),0.0057 (0.0032-0.0088),0.4895 (0.4677-0.5111)
HVAP,0.1031 (0.059-0.1654),0.0418 (0.0256-0.0611),0.8552 (0.7941-0.9005)
OVAP,0.5195 (0.3904-0.6451),0.2397 (0.1768-0.2927),0.2408 (0.1296-0.3671)
