race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0425 (0.0281-0.0579),0.0419 (0.0305-0.0541),0.0449 (0.0362-0.0549),0.8708 (0.8493-0.8913)
OVAP,0.1102 (0.1068-0.1136),0.0164 (0.0144-0.0184),0.0039 (0.0028-0.0051),0.8695 (0.8655-0.8734)
