race,COMP14D,COMP14R,COMP14None
WVAP,0.215 (0.1705-0.2598),0.2536 (0.2378-0.2691),0.5314 (0.4842-0.5761)
OVAP,0.3005 (0.2906-0.3107),0.0054 (0.0038-0.0074),0.6941 (0.6836-0.7042)
