race,AG14D,AG14R,AG14None
WVAP,0.2027 (0.1596-0.248),0.2352 (0.2226-0.2465),0.5621 (0.5173-0.6066)
OVAP,0.2995 (0.2891-0.3097),0.0041 (0.0028-0.0059),0.6964 (0.6862-0.7065)
