race,COMP18D,COMP18R,COMP18None
WVAP,0.4661 (0.3927-0.5387),0.1019 (0.0664-0.1378),0.432 (0.3576-0.511)
BVAP,0.5028 (0.4806-0.5249),0.0061 (0.0037-0.0095),0.4911 (0.4693-0.5133)
HVAP,0.101 (0.0564-0.1606),0.0488 (0.0298-0.0713),0.8502 (0.7904-0.8979)
OVAP,0.4201 (0.2779-0.5638),0.3174 (0.2496-0.382),0.2624 (0.1244-0.4043)
