race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.1758 (0.1411-0.2132),0.0633 (0.0384-0.0908),0.7608 (0.7168-0.8016)
OVAP,0.0585 (0.0526-0.0643),0.1653 (0.1595-0.1709),0.7763 (0.7691-0.784)
