race,SEN12D,SEN12R,SEN12None
WVAP,0.3125 (0.2617-0.365),0.2359 (0.225-0.2457),0.4515 (0.3989-0.502)
OVAP,0.4955 (0.4824-0.5078),0.0035 (0.0023-0.0052),0.501 (0.4887-0.514)
