race,SEN16D,SEN16R,SEN16None
WVAP,0.4935 (0.4223-0.5656),0.1556 (0.1205-0.1929),0.3509 (0.2818-0.4214)
BVAP,0.5934 (0.569-0.618),0.0062 (0.0036-0.0095),0.4004 (0.3758-0.4252)
HVAP,0.1577 (0.0862-0.2415),0.0455 (0.0275-0.0673),0.7968 (0.715-0.8662)
OVAP,0.5468 (0.4045-0.6533),0.2992 (0.2336-0.3613),0.1539 (0.0709-0.2831)
