race,COMP14D,COMP14R,COMP14None
WVAP,0.2843 (0.2367-0.3306),0.1572 (0.1296-0.1888),0.5585 (0.5077-0.61)
BVAP,0.3578 (0.3434-0.3723),0.0046 (0.0029-0.0068),0.6376 (0.6233-0.6521)
HVAP,0.041 (0.021-0.0712),0.0224 (0.0126-0.0354),0.9366 (0.9032-0.9614)
OVAP,0.1109 (0.0372-0.2047),0.1799 (0.1225-0.2317),0.7092 (0.5975-0.7988)
