race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0733 (0.0561-0.0927),0.0205 (0.0111-0.0331),0.0342 (0.0229-0.0471),0.872 (0.8474-0.8942)
BVAP,0.0359 (0.032-0.0399),0.0766 (0.0731-0.0801),0.0317 (0.0282-0.0351),0.8557 (0.8499-0.8617)
HVAP,0.0131 (0.0055-0.0234),0.0066 (0.0032-0.0124),0.0136 (0.0051-0.0247),0.9667 (0.9501-0.9797)
OVAP,0.0445 (0.0171-0.0828),0.0232 (0.0094-0.0432),0.0355 (0.0102-0.0681),0.8969 (0.8422-0.9416)
