race,SEN18D,SEN18R,SEN18None
WVAP,0.4267 (0.3612-0.4858),0.2411 (0.2275-0.2542),0.3322 (0.2733-0.3961)
OVAP,0.4356 (0.4218-0.451),0.0045 (0.0029-0.0065),0.5599 (0.5444-0.5738)
