race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0374 (0.0337-0.0408),0.0005 (0.0003-0.0009),0.9622 (0.9587-0.9658)
BVAP,0.0325 (0.0178-0.049),0.0035 (0.002-0.0056),0.9639 (0.9475-0.9789)
HVAP,0.0794 (0.0376-0.1411),0.0113 (0.0053-0.0195),0.9094 (0.8471-0.9524)
OVAP,0.105 (0.0336-0.2009),0.0199 (0.0102-0.0298),0.8752 (0.7798-0.9469)
