race,COMP18D,COMP18R,COMP18None
WVAP,0.2401 (0.2181-0.2634),0.2074 (0.1924-0.2195),0.5524 (0.5325-0.5717)
BVAP,0.3916 (0.2623-0.5229),0.1503 (0.0832-0.234),0.4581 (0.3478-0.5779)
HVAP,0.5421 (0.2605-0.7256),0.244 (0.1077-0.4492),0.2138 (0.1181-0.3544)
OVAP,0.7687 (0.6166-0.8897),0.1603 (0.0652-0.2835),0.071 (0.0209-0.1463)
