race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.041 (0.0379-0.0442),0.0006 (0.0003-0.001),0.9584 (0.9552-0.9615)
OVAP,0.0348 (0.0231-0.0472),0.0066 (0.005-0.0081),0.9586 (0.9462-0.9702)
