race,SEN12D,SEN12R,SEN12None
WVAP,0.1808 (0.1611-0.2008),0.2911 (0.2852-0.2958),0.5281 (0.5081-0.5474)
OVAP,0.3937 (0.307-0.4822),0.0353 (0.0171-0.0605),0.5711 (0.4847-0.6538)
